text,intent
Can you find me a flight with no layovers to Tokyo?,BookFlight
I?? flying to Ho Chi Minh??how me the options.,BookFlight
Book a flight that arrives in Rome in the morning.,BookFlight
Get me a flight from KL to Bali on Saturday.,BookFlight
Book me a last-minute ticket to Bangkok.,BookFlight
I want to leave for Seoul next Sunday.,BookFlight
What?? the earliest flight to Sydney this week?,BookFlight
Help me book a return flight to Singapore from Tokyo.,BookFlight
Book a hotel in Toronto.,SearchHotel
Find me a hotel in New York.,SearchHotel
Show me top-rated hotels in Singapore.,SearchHotel
Looking for hotels near Times Square in Lisbon.,SearchHotel
I need a place to stay in Istanbul.,SearchHotel
Book a hotel in Bangkok.,SearchHotel
Hotel deals in Seoul?,SearchHotel
Looking for hotels near Grand Palace in London.,SearchHotel
Best hotels in Singapore?,SearchHotel
Looking for hotels near Sagrada Familia in Tokyo.,SearchHotel
Hotel deals in Prague?,SearchHotel
Looking for hotels near Sagrada Familia in Toronto.,SearchHotel
Any budget hotels in Toronto?,SearchHotel
Show me top-rated hotels in Sydney.,SearchHotel
Book a hotel in Singapore.,SearchHotel
Book a hotel in Prague.,SearchHotel
Book a hotel in Sydney.,SearchHotel
Hotel deals in Toronto?,SearchHotel
Can you recommend a hotel in Barcelona?,SearchHotel
Can you recommend a hotel in Amsterdam?,SearchHotel
Hotel deals in London?,SearchHotel
Best hotels in Toronto?,SearchHotel
Where can I stay in Seoul?,SearchHotel
Looking for hotels near Colosseum in Berlin.,SearchHotel
Find me a hotel in Prague.,SearchHotel
Looking for hotels near Shibuya Crossing in Los Angeles.,SearchHotel
I need a place to stay in Paris.,SearchHotel
Where can I stay in Amsterdam?,SearchHotel
Show me top-rated hotels in London.,SearchHotel
Looking for hotels near Shibuya Crossing in Tokyo.,SearchHotel
Hotel deals in Sydney?,SearchHotel
Looking for hotels near Colosseum in Chicago.,SearchHotel
Looking for hotels near Grand Palace in Toronto.,SearchHotel
Find me a hotel in Rome.,SearchHotel
Best hotels in Paris?,SearchHotel
Find me a hotel in Tokyo.,SearchHotel
I need a place to stay in Dubai.,SearchHotel
Can you recommend a hotel in Los Angeles?,SearchHotel
Looking for hotels near CN Tower in Los Angeles.,SearchHotel
Best hotels in Istanbul?,SearchHotel
Show me top-rated hotels in New York.,SearchHotel
Where can I stay in Singapore?,SearchHotel
I need a place to stay in New York.,SearchHotel
Looking for hotels near Sagrada Familia in New York.,SearchHotel
Find me a hotel in Chicago.,SearchHotel
Can you recommend a hotel in Berlin?,SearchHotel
Any budget hotels in Sydney?,SearchHotel
Can you recommend a hotel in Singapore?,SearchHotel
Can you recommend a hotel in New York?,SearchHotel
Where can I stay in Los Angeles?,SearchHotel
Looking for hotels near Shibuya Crossing in Amsterdam.,SearchHotel
Looking for hotels near Colosseum in Barcelona.,SearchHotel
Show me top-rated hotels in Chicago.,SearchHotel
Can you recommend a hotel in San Francisco?,SearchHotel
Where can I stay in Sydney?,SearchHotel
Where can I stay in Barcelona?,SearchHotel
Looking for hotels near Sagrada Familia in Bangkok.,SearchHotel
Can you recommend a hotel in Bangkok?,SearchHotel
Show me top-rated hotels in Barcelona.,SearchHotel
I need a place to stay in Singapore.,SearchHotel
Hotel deals in Istanbul?,SearchHotel
Looking for hotels near the Eiffel Tower in Amsterdam.,SearchHotel
Can you recommend a hotel in Tokyo?,SearchHotel
Book a hotel in Dubai.,SearchHotel
Where can I stay in New York?,SearchHotel
Find me a hotel in Amsterdam.,SearchHotel
Book a hotel in Rome.,SearchHotel
Where can I stay in Lisbon?,SearchHotel
Book a hotel in New York.,SearchHotel
Book a hotel in San Francisco.,SearchHotel
Where can I stay in Prague?,SearchHotel
Any budget hotels in Lisbon?,SearchHotel
Hotel deals in Lisbon?,SearchHotel
Hotel deals in Barcelona?,SearchHotel
Any budget hotels in Los Angeles?,SearchHotel
Looking for hotels near Colosseum in Seoul.,SearchHotel
Book a hotel in Los Angeles.,SearchHotel
Best hotels in London?,SearchHotel
I need a place to stay in Barcelona.,SearchHotel
I need a place to stay in Sydney.,SearchHotel
I need a place to stay in Lisbon.,SearchHotel
Any budget hotels in Amsterdam?,SearchHotel
Show me top-rated hotels in Amsterdam.,SearchHotel
Can you recommend a hotel in Lisbon?,SearchHotel
Best hotels in Bangkok?,SearchHotel
I need a place to stay in Prague.,SearchHotel
Find me a hotel in Berlin.,SearchHotel
Find me a hotel in Lisbon.,SearchHotel
Best hotels in Barcelona?,SearchHotel
Can you recommend a hotel in Istanbul?,SearchHotel
Looking for hotels near Colosseum in Tokyo.,SearchHotel
Book a hotel in Amsterdam.,SearchHotel
Show me top-rated hotels in Los Angeles.,SearchHotel
Hotel deals in Berlin?,SearchHotel
Best hotels in Prague?,SearchHotel
I need a place to stay in London.,SearchHotel
Book a hotel in Istanbul.,SearchHotel
Show me top-rated hotels in Bangkok.,SearchHotel
Where can I stay in London?,SearchHotel
Best hotels in Rome?,SearchHotel
What's a popular tourist spot in Seoul?,FindPlace
Things to see in Toronto?,FindPlace
Any nice cafes around Seoul?,FindPlace
Suggest a place to visit in Paris.,FindPlace
Best places to hang out in Tokyo?,FindPlace
Any nice cafes around Tokyo?,FindPlace
Best places to hang out in Amsterdam?,FindPlace
Things to see in Los Angeles?,FindPlace
Find a good restaurant in Amsterdam.,FindPlace
Find a good restaurant in New York.,FindPlace
What's a popular tourist spot in Barcelona?,FindPlace
Suggest a place to visit in Toronto.,FindPlace
Looking for a park in Toronto.,FindPlace
Suggest a place to visit in Barcelona.,FindPlace
Show me attractions in Rome.,FindPlace
Suggest a place to visit in Tokyo.,FindPlace
Any cool spots in Barcelona?,FindPlace
Show me attractions in Seoul.,FindPlace
Suggest a place to visit in Rome.,FindPlace
Things to see in Istanbul?,FindPlace
Looking for a park in Chicago.,FindPlace
What's a popular tourist spot in London?,FindPlace
Show me attractions in Tokyo.,FindPlace
Best places to hang out in Barcelona?,FindPlace
What's a popular tourist spot in Rome?,FindPlace
Looking for a park in Dubai.,FindPlace
Best places to hang out in Rome?,FindPlace
Find a good restaurant in Los Angeles.,FindPlace
Things to see in Singapore?,FindPlace
Looking for a park in Berlin.,FindPlace
Best places to hang out in Toronto?,FindPlace
Show me attractions in Istanbul.,FindPlace
Show me attractions in Paris.,FindPlace
Find a good restaurant in Toronto.,FindPlace
Things to see in Tokyo?,FindPlace
Any cool spots in Dubai?,FindPlace
Find a good restaurant in Istanbul.,FindPlace
Any cool spots in Paris?,FindPlace
Find a good restaurant in Paris.,FindPlace
What's a popular tourist spot in Paris?,FindPlace
Suggest a place to visit in Berlin.,FindPlace
Where can I go in London?,FindPlace
What's a popular tourist spot in Toronto?,FindPlace
Where can I go in Chicago?,FindPlace
Any cool spots in Tokyo?,FindPlace
What's a popular tourist spot in Istanbul?,FindPlace
Things to see in Paris?,FindPlace
What's a popular tourist spot in Amsterdam?,FindPlace
Show me attractions in Lisbon.,FindPlace
Where can I go in Rome?,FindPlace
Any cool spots in New York?,FindPlace
Things to see in Barcelona?,FindPlace
Things to see in San Francisco?,FindPlace
Show me attractions in Toronto.,FindPlace
Suggest a place to visit in London.,FindPlace
Where can I go in Tokyo?,FindPlace
Show me attractions in London.,FindPlace
What's a popular tourist spot in Lisbon?,FindPlace
Best places to hang out in San Francisco?,FindPlace
Looking for a park in Sydney.,FindPlace
Suggest a place to visit in San Francisco.,FindPlace
What's a popular tourist spot in Tokyo?,FindPlace
Any cool spots in Istanbul?,FindPlace
Best places to hang out in Bangkok?,FindPlace
Any nice cafes around Toronto?,FindPlace
What's a popular tourist spot in Chicago?,FindPlace
Best places to hang out in Dubai?,FindPlace
Show me attractions in Barcelona.,FindPlace
Any nice cafes around Amsterdam?,FindPlace
Show me attractions in Bangkok.,FindPlace
Suggest a place to visit in Prague.,FindPlace
Any cool spots in London?,FindPlace
What's a popular tourist spot in Singapore?,FindPlace
Best places to hang out in Lisbon?,FindPlace
Any nice cafes around Paris?,FindPlace
Show me attractions in Amsterdam.,FindPlace
Any nice cafes around London?,FindPlace
Where can I go in Barcelona?,FindPlace
Any cool spots in Seoul?,FindPlace
Show me attractions in Berlin.,FindPlace
Looking for a park in New York.,FindPlace
Where can I go in Istanbul?,FindPlace
Any cool spots in Rome?,FindPlace
Where can I go in New York?,FindPlace
Looking for a park in Barcelona.,FindPlace
Find a good restaurant in Rome.,FindPlace
Suggest a place to visit in Los Angeles.,FindPlace
What's a popular tourist spot in San Francisco?,FindPlace
Things to see in Seoul?,FindPlace
Show me attractions in Singapore.,FindPlace
Any cool spots in Prague?,FindPlace
Suggest a place to visit in Seoul.,FindPlace
Any nice cafes around Berlin?,FindPlace
Any cool spots in Bangkok?,FindPlace
Looking for a park in Paris.,FindPlace
What's a popular tourist spot in Bangkok?,FindPlace
Any nice cafes around Barcelona?,FindPlace
What's a popular tourist spot in Prague?,FindPlace
Best places to hang out in Berlin?,FindPlace
Where can I go in Bangkok?,FindPlace
Is Gardens by the Bay open today?,AskOpeningHour
What time does Acropolis Museum open?,AskOpeningHour
When does Acropolis Museum close?,AskOpeningHour
Can I go to Marina Bay Sands now?,AskOpeningHour
Opening hours for Burj Khalifa?,AskOpeningHour
When can I visit The MET?,AskOpeningHour
When is Niagara Falls open?,AskOpeningHour
What time does British Museum close today?,AskOpeningHour
What time does Acropolis Museum close today?,AskOpeningHour
When is Universal Studios open?,AskOpeningHour
What are the hours for Louvre Museum?,AskOpeningHour
Can I go to Niagara Falls now?,AskOpeningHour
What time does British Museum open?,AskOpeningHour
When is Burj Khalifa open?,AskOpeningHour
When is Grand Bazaar open?,AskOpeningHour
What time does Marina Bay Sands close today?,AskOpeningHour
Opening hours for Tokyo Tower?,AskOpeningHour
When is Golden Gate Bridge open?,AskOpeningHour
When can I visit Grand Bazaar?,AskOpeningHour
Is Marina Bay Sands open today?,AskOpeningHour
When can I visit Disneyland Paris?,AskOpeningHour
What are the hours for Niagara Falls?,AskOpeningHour
What time does Sydney Opera House open?,AskOpeningHour
When is British Museum open?,AskOpeningHour
When does Golden Gate Bridge close?,AskOpeningHour
When can I visit Niagara Falls?,AskOpeningHour
Is Grand Bazaar open now?,AskOpeningHour
Can I go to Gardens by the Bay now?,AskOpeningHour
When does Burj Khalifa close?,AskOpeningHour
Is Eiffel Tower open now?,AskOpeningHour
What time does Golden Gate Bridge open?,AskOpeningHour
When is Vatican Museums open?,AskOpeningHour
Is Tokyo Tower open now?,AskOpeningHour
Is Acropolis Museum open today?,AskOpeningHour
What are the hours for Acropolis Museum?,AskOpeningHour
When does Sydney Opera House close?,AskOpeningHour
What are the hours for Vatican Museums?,AskOpeningHour
Can I go to Burj Khalifa now?,AskOpeningHour
Opening hours for Louvre Museum?,AskOpeningHour
What time does Vatican Museums open?,AskOpeningHour
When does La Sagrada Familia close?,AskOpeningHour
Can I go to The MET now?,AskOpeningHour
When does CN Tower close?,AskOpeningHour
When can I visit Eiffel Tower?,AskOpeningHour
When does Eiffel Tower close?,AskOpeningHour
Opening hours for Eiffel Tower?,AskOpeningHour
Is Louvre Museum open today?,AskOpeningHour
When is Colosseum open?,AskOpeningHour
Is The MET open today?,AskOpeningHour
When does Vatican Museums close?,AskOpeningHour
When can I visit Acropolis Museum?,AskOpeningHour
Opening hours for Universal Studios?,AskOpeningHour
When can I visit Gardens by the Bay?,AskOpeningHour
Is Acropolis Museum open now?,AskOpeningHour
Is Vatican Museums open now?,AskOpeningHour
Can I go to Golden Gate Bridge now?,AskOpeningHour
What are the hours for Eiffel Tower?,AskOpeningHour
What time does Louvre Museum close today?,AskOpeningHour
Opening hours for Sydney Opera House?,AskOpeningHour
What time does Burj Khalifa open?,AskOpeningHour
When can I visit Sydney Opera House?,AskOpeningHour
What are the hours for Central Park?,AskOpeningHour
What time does Disneyland Paris open?,AskOpeningHour
What time does Colosseum open?,AskOpeningHour
Opening hours for Marina Bay Sands?,AskOpeningHour
Opening hours for Golden Gate Bridge?,AskOpeningHour
Is La Sagrada Familia open today?,AskOpeningHour
Is Central Park open now?,AskOpeningHour
What time does The MET close today?,AskOpeningHour
What time does Colosseum close today?,AskOpeningHour
Opening hours for Vatican Museums?,AskOpeningHour
What are the hours for Golden Gate Bridge?,AskOpeningHour
When does Colosseum close?,AskOpeningHour
Opening hours for Disneyland Paris?,AskOpeningHour
When can I visit Louvre Museum?,AskOpeningHour
Is Sydney Opera House open today?,AskOpeningHour
When does British Museum close?,AskOpeningHour
When does Universal Studios close?,AskOpeningHour
What are the hours for Tokyo Tower?,AskOpeningHour
What are the hours for Gardens by the Bay?,AskOpeningHour
What are the hours for Sydney Opera House?,AskOpeningHour
Can I go to Acropolis Museum now?,AskOpeningHour
Is Niagara Falls open today?,AskOpeningHour
What time does Marina Bay Sands open?,AskOpeningHour
What are the hours for CN Tower?,AskOpeningHour
Is Central Park open today?,AskOpeningHour
Opening hours for The MET?,AskOpeningHour
When can I visit Universal Studios?,AskOpeningHour
What are the hours for Colosseum?,AskOpeningHour
Is Golden Gate Bridge open today?,AskOpeningHour
When is Tokyo Tower open?,AskOpeningHour
What are the hours for The MET?,AskOpeningHour
When does Tokyo Tower close?,AskOpeningHour
Can I go to Vatican Museums now?,AskOpeningHour
Is Louvre Museum open now?,AskOpeningHour
When can I visit Burj Khalifa?,AskOpeningHour
When can I visit Tokyo Tower?,AskOpeningHour
When can I visit Golden Gate Bridge?,AskOpeningHour
When is Marina Bay Sands open?,AskOpeningHour
Is Burj Khalifa open now?,AskOpeningHour
